séjour,nom masculin,Définitions,Fait de séjourner quelque part. • Période durant laquelle on séjourne. • (En parlant de choses) Fait de demeurer au même endroit. • Salle de séjour. • SOUT. Lieu de…
livraison,nom féminin,Définitions,"Action de remettre en main propre un colis, une marchandise à son destinataire. • Colis, marchandise qu’on livre. • Chacun des volumes ou fascicules d’un ouvrage publié périodiquement, en plusieurs parties…"
en outre,locution adverbiale,Définitions,De plus.
repérer,verbe,Définitions,"Marquer de repères. • Trouver, grâce à des repères, la situation exacte de. • FAM. Reconnaître parmi d’autres. • Se repérer ⁠: se retrouver, savoir où l’on est, grâce à des repères. • FAM. Se repérer ⁠…"
mentir,verbe,Définitions,"Ne pas dire ou nier ce qu’on sait être vrai. • Mentir à (quelqu’un) ⁠: ne pas dire la vérité à (quelqu’un), affirmer ce qu’on sait être faux à. • VX Trahir (sa foi, sa promesse). • Se mentir…"
débarrasser,verbe,Définitions,"Dégager (quelque chose de ce qui encombre, ce qui gêne). • Enlever (quelque chose) ce qui empêche (quelqu’un) d’être à l’aise. • ABSOL. Ôter le couvert après le repas. • Libérer de quelqu’un ou quelque…"
chuchoter,verbe,Définitions,Parler en expirant sans faire entendre sa voix.
inaperçu,adjectif,Définitions,Qui n’est pas remarqué.
déplacer,verbe,Définitions,"Enlever (une chose) de la place qu’elle occupe pour la placer ailleurs. • FIG. S’écarter de (un sujet). • Changer la date, l’heure de. • Affecter (quelqu’un) à un autre poste. • MAR. …"
trentenaire,nom,Définitions,Personne dont l’âge se situe entre trente et trente-neuf ans. • Un trentenaire ⁠: trentième anniversaire.
maladroitement,adverbe,Définitions,"Avec maladresse ; gauchement, malhabilement."
appuyer,verbe,Définitions,Mettre (quelque chose) en contact (avec quelque chose qui lui sert de support). • S’appuyer ⁠: se mettre en contact (avec quelque chose qui sert de support). • FIG. Apporter (quelque chose) comme preuve…
taire,verbe,Définitions,"Se taire ⁠: cesser de parler. • Ne plus être perceptible. • Se taire ⁠: s’abstenir de parler, garder le silence. • Se taire (quelque chose) ⁠: SOUT. ne pas se dire (quelque chose). • Se taire sur…"
culpabiliser,verbe,Définitions,Faire prendre conscience de quelque chose à (quelqu’un) en lui donnant un sentiment de culpabilité. • Se culpabiliser ⁠: se sentir coupable. • Se sentir coupable.
volontairement,adverbe,Définitions,"D’une manière volontaire ; intentionnellement, délibérément. • RARE Avec autorité, fermeté. • DR. D’une manière bénévole, libre."
tenue,nom féminin,Définitions,"Action de tenir une assemblée ; temps pendant lequel se tient cette assemblée. • Manière de se conduire, de se présenter physiquement. • Manière de s’habiller. • Ensemble des vêtements propres à une activité…"
défi,nom masculin,Définitions,"ANC. Action de défier en un combat singulier. • Action de provoquer quelqu’un, de le défier à une compétition ou à faire quelque chose de difficile ; cette chose. • Objectif difficile que l’on se propose…"
piège,nom masculin,Définitions,"CHASSE Dispositif, engin destiné à prendre morts ou vifs les animaux ou à les attirer près du chasseur. • Artifice servant à tromper quelqu’un, à mettre quelqu’un dans une situation difficile, périlleuse…"
dégager,verbe,Définitions,"Reprendre ce qui avait été mis en gage. • FIG. Se soustraire à (une promesse, une responsabilité). • Se dégager ⁠: se libérer de (une contrainte). • Libérer (quelque chose de ce qui empêche le libre mouvement…"
dépoussiérer,verbe,Définitions,"Enlever la poussière de (une chose, une pièce, un lieu). • FIG. Remettre à neuf, rajeunir."
honte,nom féminin,Définitions,"Sentiment désagréable causé par le fait de réaliser que l’on a fait, soi ou une autre personne liée à soi, quelque chose de mal ou que l’on possède une caractéristique que l’on juge inacceptable pour…"
accroc,nom masculin,Définitions,"Déchirure dans un tissu faite en s’accrochant. • FIG. Difficulté imprévue. • Manquement à une règle, infraction."
narquois,adjectif,Définitions,"VX Rusé. • MOD. Moqueur, railleur."
coûte que coûte,locution adverbiale,Définitions,Peu importe ce qu’on doit sacrifier pour obtenir le résultat.
échapper,verbe,Définitions,"Échapper à ⁠: ne pas être touché par ; se soustraire à. • (Auxiliaire avoir ou parfois être) Ne plus être retenu par mégarde, par imprudence, contre son…"
tailler,verbe,Définitions,Retrancher avec un instrument tranchant une partie de. • Couper pour donner une certaine forme et favoriser la croissance. • Couper dans une étoffe les pièces nécessaires à la confection de. • Se tailler quelque chose ⁠…
mépriser,verbe,Définitions,"Éprouver ou témoigner du mépris pour (quelqu’un, quelque chose). • Ignorer, se désintéresser de (quelque chose)."
toucher à sa fin,locution verbale,Définitions,Être sur le point de se terminer.
imprévu,adjectif,Définitions,Qui n’a pas été prévu.
préavis,nom masculin,Définitions,Avertissement préalable. • DR. Délai ou avertissement légal que doit observer l’employeur en cas de licenciement ou le salarié en cas de démission.
inutile,interjection,Définitions,Il est inutile (de).
insondable,adjectif,Définitions,Qui ne peut être sondé. • FIG. Qu’il est difficile ou impossible de comprendre.
avoir lieu,locution verbale,Définitions,"Se produire, se dérouler."
auparavant,adverbe,Définitions,"Avant tel fait ou telle action, plus tôt ; antérieurement."
fil,nom masculin,Définitions,"Brin long et fin d’une matière textile, naturelle ou pas, réunion de cette matière tordue et filée. • Brins filés et tordus employés pour la couture. • Brin fait d’une matière souple, destiné à tenir…"
lourd,adjectif,Définitions,"Pesant, difficile à soulever ou à porter en raison de son poids. • Se dit d’une partie du corps que l’on a peine à remuer, qui gêne par une sensation de pesanteur. • Qui charge l’estomac. • Qui affecte…"
cousu de fil blanc,locution adjectivale,Définitions,FIG. Trop évident pour tromper quiconque.
méfiance,nom féminin,Définitions,État de la personne qui se méfie.
